# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Catecholamines, urine
       Dopamine
      Epinephrine
      Norepinephrine
      Total","65–400 μg/24 hr
2–24 μg/24 hr
15–100 μg/24 hr
26–121 μg/24 hr"
"CD4 T-lymphocyte count","530–1570/μL"
"Cell count, CSF:
 Leukocytes (WBCs)
 Erythrocytes (RBCs)","0–5 cells/μL
0/µL"
"Ceruloplasmin, serum (plasma)","25–43 mg/dL"
"Chloride, serum","98–106 mEq/L"
"Chloride, urine
      Random (""spot"")
24-hour measurement","mEq/L; varies
mEq/24 hr; varies with intake"
"Cholesterol, serum
      Total
          Desirable
          Borderline-high
          High
 High-density lipoprotein
          Low
 Low-density lipoprotein
          Optimal
          Near-optimal
          Borderline-high
          High
          Very high","˂200 mg/dL
200–239 mg/dL 
>239 mg/dL
Female: ˂50 mg/dL; male: ˂40 mg/dL
˂100 mg/dL
100–129 mg/dL
130–159 mg/dL
160–189 mg/dL
>189 mg/dL"
"Cholinesterase, serum (pseudocholinesterase)","≥0.5 pH unit/hr"
"Packed cells","≥0.7 pH unit/hr"
"Chorionic gonadotropin, beta-human
     (beta-hCG), serum","See  Beta-human chorionic gonadotropin (beta-hCG), 
serum"
"Chorionic gonadotropin, beta-human
     (beta-hCG), urine","See  Beta-human chorionic gonadotropin (beta-hCG), 
urine"
"Chromogranin A, serum","˂93 ng/mL"
"Citrate, urine","250–1000 mg/24 hr"
"Coagulation factors, plasma 
     Factor I (fibrinogen)
     Factor II (prothrombin)
     Factor V (accelerator globulin)
     Factor VII (proconvertin)
     Factor VIII (antihemophilic globulin)
     Factor IX (plasma thromboplastin component)
     Factor X (Stuart factor)
     Factor XI (plasma thromboplastin antecedent)
     Factor XII (Hageman factor)
 Factor XIII","200–400 mg/dL
60%–130%
60%–130%
60%–130%
50%–150%
60%–130%
60%–130%
60%–130%
60%–130%
57%–192%"
"Cold agglutinin titer",">1:64 positive"
"Complement components, serum
     C3
     C4
     CH50","100–233 mg/dL
14–48 mg/dL
110–190 units/mL"
"Copper, serum","100–200 μg/dL"
"Copper, urine","0–100 μg/24 hr"
"Coproporphyrin, urine","50–250 μg/24 hr"
"Cortisol, free, urine","4–50 μg/24 hr"
"Cortisol, plasma
     8 AM
     4 PM
     1 hour after  cosyntropin 
 Overnight suppression test (1-mg)
 Overnight suppression test (8-mg)","5–25 μg/dL
˂10 μg/dL
≥18 μg/dL
˂1.8 μg/dL
>50% reduction in cortisol"
"Cortisol, saliva, 11 PM – midnight","˂0.09 µg/dL"
"C-reactive protein (high sensitivity), serum","Low cardiovascular risk: ˂1.0 mg/L;
Average cardiovascular risk: 1.0–3.0 mg/L;
High cardiovascular risk: >3.0 mg/L"
"Creatine kinase, serum
     Total
     MB isoenzymes","Female: 30–135 U/L; male: 55–170 U/L
˂5% of total"
"Creatine, urine","Female: 0–100 mg/24 hr; male: 0–40 mg/24 hr"
"Creatinine clearance, urine","90–140 mL/min/1.73 m2"
"Creatinine, serum","Female: 0.50–1.10 mg/dL; male: 0.70–1.30 mg/dL"
"Creatinine, urine
     Random (""spot"")
24-hour measurement","mg/dL; varies
15–25 mg/kg body weight/24 hr"
"D-dimer, plasma","˂0.5 μg/mL"
"Dehydroepiandrosterone sulfate (DHEA-S), serum","Female: 44–332 μg/dL; male: 89–457 μg/dL"
"Delta-aminolevulinic acid, serum","˂20 μg/dL"
"Dihydrotestosterone, serum","Adult male: 25–80 ng/dL"
"Dopamine, plasma","˂30 pg/mL"
"Dopamine, urine","65–400 μg/24 hr"
"D-Xylose absorption
(after ingestion of 25 g of D-xylose)
     Serum
     Urinary excretion","25–40 mg/dL
4.5–7.5 g during a 5-hr period"
"Electrolytes, serum
     Sodium
     Potassium
     Chloride
     Bicarbonate","136–145 mEq/L
3.5–5.0 mEq/L
98–106 mEq/L
23–28 mEq/L"
"Epinephrine, plasma
     Supine
     Standing","˂110 pg/mL
˂140 pg/mL"
"Epinephrine, urine","˂20 μg/24 hr"
"Erythrocyte count","4.2–5.9 million/μL"
"Erythrocyte sedimentation rate (Westergren)","Female: 0–20 mm/hr; male: 0–15 mm/hr"
"Erythrocyte survival rate (51Cr)","T½ = 28 days"
"Erythropoietin, serum","4–26 mU/mL"
"Estradiol, serum
     Female, follicular
          Mid-cycle peak
          Luteal
          Postmenopausal
     Male","10–180 pg/mL
100–300 pg/mL
40–200 pg/mL
˂10 pg/mL
20–50 pg/mL"
"Estriol, urine",">12 mg/24 hr"
"Estrogen receptor protein","Negative: ˂10 fmol/mg protein"
"Estrone, serum","10–60 pg/mL"
"Ethanol, blood
     Coma level
     Intoxication","˂0.005% (˂5 mg/dL)
>0.5% (>500 mg/dL)
≥0.08%–0.1% (≥80–100 mg/dL)"
"Euglobulin clot lysis time","2–4 hours at 37.0 C"
"Factor XIII, B subunit, plasma","60–130 U/dL"
"Fecal pH","7.0–7.5"
"Fecal weight","˂250 g/24 hr"
"Ferritin, serum","Female: 24–307 ng/mL; male: 24–336 ng/mL"
"Fibrin(ogen) degradation products","˂10 μg/mL"
"Fibrinogen, plasma","200–400 mg/dL"
"Fibroblast growth factor-23, serum","30–80 RU/mL"
"Folate, red cell","150–450 ng/mL of packed cells"
"Folate, serum","1.8–9.0 ng/mL"
"Follicle-stimulating hormone, serum
 Female, follicular/luteal
     Female, mid-cycle peak
     Female, postmenopausal
     Male (adult)
     Children, Tanner stages 1, 2
     Children, Tanner stages 3, 4, 5","2–9 mIU/mL (2–9 U/L)
4–22 mIU/mL (4–22 U/L)
>30 mIU/mL (>30 U/L)
1–7 mIU/mL (1–7 U/L)
0.5–8.0 mIU/mL (0.5–8.0 U/L)
1–12 mIU/mL (1–12 U/L)"
"Free kappa light chain, serum","3.3–19.4 mg/L"
"Free kappa-to-free lambda light chain ratio, serum","0.26–1.65"
"Free lambda light chain, serum","5.7–26.3 mg/L"
"Gamma globulin, CSF","6.1–8.3 mg/dL"
"Gamma-glutamyltransferase",""
"(gamma-glutamyl transpeptidase), serum","Female: 8–40 U/L; male: 9–50 U/L"
"Gastrin, serum","˂100 pg/mL"
"Glucose, CSF","50–75 mg/dL"
"Glucose, plasma (fasting)","70–99 mg/dL"
"Glucose-6-phosphate dehydrogenase, blood","5–15 units/g of hemoglobin"
"Glycoprotein α-subunit, serum","˂1 ng/mL"
"Growth hormone, serum
     At rest
     Response to provocative stimuli","˂5 ng/mL
>7 ng/mL"
"Haptoglobin, serum","83–267 mg/dL"
"Hematocrit, blood","Female: 37%–47%; male: 42%–50%"
"Hemoglobin A1C","4.0%–5.6%"
"Hemoglobin, blood","Female: 12–16 g/dL; male: 14–18 g/dL"
"Hemoglobin fractionation
     Hb A
     Hb A2
     Hb F","96%–98%
1.5%–3.5%
˂1%"
"Hemoglobin, plasma","˂5.0 mg/dL"
"Heparin–anti-factor Xa assay, plasma","0.3–0.7 IU/mL [therapeutic range for standard 
(unfractionated) heparin therapy]"
"Heparin–platelet factor 4 antibody, serum","Positive: >0.4 optical density unit"
"Hepatic copper","25–40 μg/g dry weight"
"Hepatic iron index","˂1.0"
"Histamine excretion, urine","20–50 μg/24 hr"
"Homocysteine, plasma","5–15 μmol/L"
"β-Human chorionic gonadotropin (β-hCG), serum","Female, premenopausal nonpregnant: ˂1.0 U/L; female, 
postmenopausal: ˂7.0 U/L; male: ˂1.4 U/L"
"β-Human chorionic gonadotropin (β-hCG), urine","˂2 mIU/24 hr"
"Hydroxyproline, urine","10–30 mg/sq meter of body surface/24 hr"
"Immune complexes, serum","0–50 μg/dL"
"Immunoglobulins, serum
     IgA
     IgE
     IgG
     IgM","90–325 mg/dL
˂380 IU/mL
800–1500 mg/dL
45–150 mg/dL"
"Immunoglobulin free light chains, serum
    Kappa
    Lambda
 Kappa-to-lambda ratio","3.3–19.4 mg/L
5.7–26.3 mg/L
0.26–1.65"
"Insulin, serum (fasting)","˂20 μU/mL"
"Insulin-like growth factor 1 (IGF-1)
     (somatomedin-C), serum
     Ages 16–24
     Ages 25–39
     Ages 40–54
     Ages 55 and older","182–780 ng/mL
114–492 ng/mL
90–360 ng/mL
71–290 ng/mL"
"Iodine, urine
     Random (""spot"")","µg/L; varies"
"Iron, serum","50–150 μg/dL"
"Iron-binding capacity, serum (total)","250–310 μg/dL"
"Lactate dehydrogenase, serum","80–225 U/L"
"Lactate, arterial blood","˂1.3 mmol/L (˂1.3 mEq/L)"
"Lactate, serum or plasma","0.7–2.1 mmol/L"
"Lactate, venous blood","0.7–1.8 mEq/L; 6–16 mg/dL"
"Lactic acid, serum","6–19 mg/dL (0.7–2.1 mmol/L)"
"Lactose tolerance test, GI","Increase in plasma glucose: >15 mg/dL"
"Lead, blood","<5.0 μg/dL"
"Leukocyte count
     Segmented neutrophils
     Band forms
     Lymphocytes
     Monocytes
     Basophils
     Eosinophils","4000–11,000/μL
50%–70%
0%–5%
30%–45%
0%–6%
0%–1%
0%–3%"
"Lipase, serum","10–140 U/L"
"Lipoprotein(a), serum","Desirable: ˂30 mg/dL"
"Luteinizing hormone (LH), serum
 Female, follicular/luteal
     Female, mid-cycle peak
     Female, postmenopausal
     Male (adult)
     Children, Tanner stages 1, 2, 3 
     Children, Tanner stages 4, 5","1–12 mIU/mL (1–12 U/L)
9–80 mIU/mL (9–80 U/L)
>30 mIU/mL (>30 U/L)
2–9 mIU/mL (2–9 U/L)
˂9.0 mIU/mL (˂9.0 U/L)
1–15 mIU/mL (1–15 U/L)"
     CD3
     CD4
     CD8
     CD19
     CD56","900–3245/μL
530–1570/μL
430–1060/μL
208–590/μL
40–500/µL"
"Magnesium, serum","1.6–2.6 mg/dL"
"Magnesium, urine","14–290 mg/24 hr"
"Mean corpuscular hemoglobin","28–32 pg"
"Mean corpuscular hemoglobin concentration","33–36 g/dL"
"Mean corpuscular volume","80–98 fL"
"Mean platelet volume","7–9 fL"
"Metanephrines, fractionated, plasma 
   Metanephrine
   Normetanephrine","˂0.5 nmol/L
˂0.9 nmol/L"
"Metanephrines, fractionated, 24-hour urine
   Metanephrine
   Normetanephrine","˂400 µg/24 hr
˂900 µg/24 hr"
"Methylmalonic acid, serum","0.00–0.40 µmol/L"
"Myoglobin, serum","˂100 μg/L"
"Norepinephrine, plasma
     Supine
     Standing","70–750 pg/mL
200–1700 pg/mL"
"Norepinephrine, urine","0–100 μg/24 hr"
"Normetanephrine, fractionated, plasma","˂0.9 nmol/L"
"Normetanephrine, fractionated, 24-hour urine","˂900 µg/24 hr"
"N -telopeptide, urine","Female: 11–48 nmol BCE/mmol creatinine; 
male: 7–68 nmol BCE/mmol creatinine"
"N -terminal-pro-B-type natriuretic peptide (NT-pro-BNP), 
serum or plasma","If eGFR >60 mL/min/1.73 m2
18 –49 years of age
     Heart failure unlikely:  ≤300 pg/mL
     High probability of heart failure:  ≥450 pg/mL
50–75 years of age
      Heart failure unlikely:  ≤300 pg/mL
      High probability of heart failure: ≥900 pg/mL
Older than 75 years of age
      Heart failure unlikely:  ≤300 pg/mL
      High probability of heart failure: ≥1800 pg/mL
If eGFR <60 mL/min/1.73 m2
18 years of age or older
     High probability of heart failure:  ≥1200 pg/mL"
"Osmolality, serum","275–295 mOsm/kg H2O"
"Osmolality, urine","38–1400 mOsm/kg H2O"
"Osmotic fragility of erythrocytes","Increased if hemolysis occurs in over 0.5% NaCl; 
decreased if hemolysis is incomplete in 0.3% NaCl"
"Osteocalcin, serum","Female: 7.2–27.9 ng/mL; male: 11.3–35.4 ng/mL"
"Oxalate, urine","˂40 mg/24 hr"
"Oxygen consumption","225–275 mL/min"
"Oxygen saturation, arterial blood","≥95%"
"Parathyroid hormone, serum
     C -terminal 
     Intact
 Intact (dialysis patients only)","150–350 pg/mL
10–65 pg/mL
Target: 130–585 pg/mL"
"Partial thromboplastin time (activated)","25–35 seconds"
"pH, urine","4.5–8.0"
"Phenolsulfonphthalein, urine","At least 25% excreted by 15 minutes; 
40% by 30 minutes; 
60% by 120 minutes"
"Phosphatase (acid), serum
     Total
     Prostatic fraction","0.5–2.0 (Bodansky) units/mL
0.1–0.4 unit/mL"
"Phosphatase (alkaline), serum","30–120 U/L"
"Phospholipids, serum (total)","200–300 mg/dL"
"Phosphorus, serum","3.0–4.5 mg/dL"
"Phosphorus, urine","500–1200 mg/24 hr"
"Platelet count","150,000–450,000/μL"
"Platelet function analysis (PFA-100):
 Collagen–epinephrine closure time
   Collagen–ADP closure time","60–143 seconds
58–123 seconds"
"Platelet survival rate (51Cr)","10 days"
"Potassium, serum","3.5–5.0 mEq/L"
"Potassium, urine
     Random (""spot"")
24-hour measurement","mEq/L; varies
mEq/24 hr; varies with intake"
"Prealbumin, serum","16–30 mg/dL"
"Pregnanetriol, urine","0.2–3.5 mg/24 hr"
"Pressure (opening) [initial], CSF","70–180 mm CSF (70–180 mm H2O); 7–18 cm H2O"
"Procalcitonin, serum","≤0.10 ng/mL"
"Progesterone, serum
     Female, follicular
     Female, luteal
     Male (adult)","0.02–0.9 ng/mL
2–30 ng/mL
0.12–0.3 ng/mL"
"Proinsulin, serum","3–20 pmol/L"
"Prolactin, serum","˂20 ng/mL"
"Prostate-specific antigen, serum","ng/mL; no specific normal or abnormal level"
"Protein C activity, plasma","65%–150%"
"Protein C antigen, plasma","70%–140%"
"Protein catabolic rate, urine","goal: 1.0–1.2 g/kg/24 hr"
"Protein S activity, plasma","57%–131%"
"Protein S antigen, plasma
  Total
  Free","60%–140%
60%–130%"
"Protein, urine
     Random (""spot"")
24-hour measurement","mg/dL; varies
˂100 mg/24 hr"
"Proteins, CSF total","15–45 mg/dL"
"Proteins, serum
      Total
      Albumin","5.5–9.0 g/dL
3.5–5.5 g/dL"
      Globulin
          Alpha1 
          Alpha2  
          Beta
          Gamma","2.0–3.5 g/dL
0.2–0.4 g/dL
0.5–0.9 g/dL
0.6–1.1 g/dL
0.7–1.7 g/dL"
"Protein-to-creatinine ratio, urine","˂0.2 mg/mg"
"Prothrombin time, plasma","11–13 seconds"
"Pyruvic acid, blood","0.08–0.16 mmol/L"
"Red cell distribution width (RDW)","9.0%–14.5%"
"Red cell mass","Female: 22.7–27.9 mL/kg; male: 24.9–32.5 mL/kg"
"Renin activity (angiotensin-I radioimmunoassay)
     Peripheral plasma
          Normal diet
               Supine
               Upright
          Low sodium diet
               Supine
               Upright
          Diuretics + low sodium diet
     Renal vein concentration","0.3–2.5 ng/mL/hr
0.2–3.6 ng/mL/hr
0.9–4.5 ng/mL/hr
4.1–9.1 ng/mL/hr
6.3–13.7 ng/mL/hr
Normal ratio (high:low): ˂1.5"
"Reptilase time","10–12 seconds"
"Reticulocyte count","0.5%–1.5% of red cells"
"Reticulocyte count, absolute","25,000–100,000/µL"
"Rheumatoid factor (nephelometry)","˂24 IU/mL"
"Rheumatoid factor, latex test for","≤1:80"
"Ristocetin cofactor activity of plasma","See  von Willebrand factor activity (ristocetin cofactor 
activity), plasma"
"Russell viper venom time, dilute","33–44 seconds"
"Sex hormone-binding globulin","Female, nonpregnant: 18–144 nmol/L;
male: 10–57 nmol/L"
"Sodium, serum","136–145 mEq/L"
"Sodium, urine
   Random (""spot"")
24-hour measurement","mEq/L; varies
mEq/24 hr; varies with intake"
"Specific gravity, urine","1.002–1.030"
"Sperm density","10–150 million/mL"
"Sweat test for sodium and chloride","˂60 mEq/L"
"T3 resin uptake","25%–35%"
"T-lymphocyte count, CD4","530–1570/μL"
"Testosterone, serum","Female: 18–54 ng/dL; male: 291–1100 ng/dL"
"Testosterone, bioavailable, serum","Female, age 18–69 yrs: 0.5–8.5 ng/dL"
"Testosterone, free, serum","Male: 70–300 pg/mL"
"Thrombin time","17–23 seconds"
     T3 resin uptake
     Thyroglobulin, serum
     Thyroidal iodine (123I) uptake
 Thyroid-stimulating hormone (TSH), serum
 Thyroid-stimulating immunoglobulin (TSI)
     Thyroxine-binding globulin, serum
     Thyroxine index, free (estimate)
     Thyroxine (T4), serum
          Total
          Free
     Triiodothyronine (T3), serum
          Total
          Reverse
          Free","25%–35%
˂20 ng/mL
5%–30% of administered dose at 24 hours
0.5–4.0 μU/mL (0.5–4.0 mU/L)
˂130%
12–27 µg/mL
5–12
5–12 μg/dL
0.8–1.8 ng/dL
80–180 ng/dL
20–40 ng/dL
2.3–4.2 pg/mL"
"Tissue transglutaminase antibody, IgA
[by chemiluminescence method]","˂20 AU"
"Tissue transglutaminase antibody, IgG
[by chemiluminescence method]","˂20 AU"
"Tissue transglutaminase antibody, IgA
[by ELISA]","˂4.0 U/mL"
"Tissue transglutaminase antibody, IgG
[by ELISA]","˂6.0 U/mL"
"Total proteins, CSF","15–45 mg/dL"
"Transaminase, serum glutamic oxaloacetic (SGOT)","See  Aminotransferase, serum aspartate (AST)"
"Transaminase, serum glutamic pyruvic (SGPT)","See  Aminotransferase, serum alanine (ALT)"
"Transferrin saturation","20%–50%"
"Transferrin, serum","200–400 mg/dL"
"Triglycerides, serum (fasting)
     Optimal
     Normal
 Borderline-high
     High
     Very high","˂100 mg/dL
˂150 mg/dL
150–199 mg/dL
200–499 mg/dL
>499 mg/dL"
"Troponin I, cardiac, serum","≤0.04 ng/mL"
"Troponin T, cardiac, serum","≤0.01 ng/mL"
"Troponin I, cardiac, high-sensitivity, plasma","Female: ≤15 ng/L; male: ≤20 ng/L"
"Troponin T, cardiac, high-sensitivity, plasma","Female: ≤10 ng/L; male: ≤15 ng/L"
"Tryptase, serum","˂11.5 ng/mL"
"Urea clearance, urine
     Standard
     Maximal","40–60 mL/min
60–100 mL/min"
"Urea nitrogen, blood","8–20 mg/dL"
"Urea nitrogen, urine","12–20 g/24 hr"
"Uric acid, serum","3.0–7.0 mg/dL"
"Uric acid, urine","250–750 mg/24 hr"
"Uroporphyrin, urine","10–30 μg/24 hr"
"Vanillylmandelic acid, urine","˂9 mg/24 hr"
"Venous oxygen content, mixed","14–16 mL/dL"
     pH
     PCO2
     PO2
     Bicarbonate
     Oxygen saturation (SvO2)","7.32–7.41
42–53 mm Hg
35–42 mm Hg
24–28 mEq/L
65%–75%"
"Viscosity, serum","1.4–1.8 cp"
"Vitamin A, serum:
   Adult
   Pediatric, age 1–2 yr (retinol)","32.5–78.0 μg/dL
20–43 μg/dL"
"Vitamin B12, serum","200–800 pg/mL"
"Vitamin D metabolites, serum
     1,25-Dihydroxyvitamin D
          (1,25-dihydroxycholecalciferol)
25-Hydroxyvitamin D
(25-hydroxycholecalciferol)","15–60 pg/mL
30–60 ng/mL"
"Vitamin E, serum:
   Adult
 Pediatric, age 1–2 yr (alpha-tocopherol)","5.5–17.0 mg/L
2.9–16.6 mg/L"
"Volume, blood
     Plasma
     Red cell","Female: 43 mL/kg body weight; 
male: 44 mL/kg body weight
Female: 20–30 mL/kg body weight;
male: 25–35 mL/kg body weight"
"von Willebrand factor activity (ristocetin cofactor
activity), plasma","50%–150%"
"von Willebrand factor antigen, plasma","50%–150%"
"Zinc, serum","75–140 μg/dL"
